TrialIndex,StimType,Order,Delay,ScannerRun,TripletMemberA,TripletMemberB,TripletMemberC,Xcoordinate,Ycoordinate,Xcoordinate_lure1,Ycoordinate_lure1,Xcoordinate_lure2,Ycoordinate_lure2,Xcoordinate_foil,Ycoordinate_foil,run_1.thisRepN,run_1.thisTrialN,run_1.thisN,run_1.thisIndex,main_image.started,main_image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,OLP,1,3,1,Stimuli/Fractals/118a.jpg,Stimuli/Fractals/118c.jpg,Stimuli/Fractals/118b.jpg,212.1320344,212.1320344,0.0,300.0,300.0,0.0,-212.1320344,-212.1320344,0,0,0,0,6.033537459999934,None,0202,001,2020_ápr_01_1734,trk-encoding,3.2.4,2287.587231833843,
2,OLP,1,3,1,Stimuli/Fractals/119c.jpg,Stimuli/Fractals/119a.jpg,Stimuli/Fractals/119b.jpg,212.1320344,-212.1320344,0.0,-300.0,300.0,0.0,-212.1320344,212.1320344,0,1,1,1,6.972806757999933,None,0202,001,2020_ápr_01_1734,trk-encoding,3.2.4,2287.587231833843,
3,LLP,1,5,1,Stimuli/Fractals/135b.jpg,Stimuli/Fractals/135a.jpg,Stimuli/Fractals/135c.jpg,212.1320344,212.1320344,300.0,0.0,0.0,300.0,-212.1320344,-212.1320344,0,2,2,2,7.971123611998337,None,0202,001,2020_ápr_01_1734,trk-encoding,3.2.4,2287.587231833843,
4,ERP,1,2,1,Stimuli/Fractals/13a.jpg,Stimuli/Fractals/13b.jpg,Stimuli/Fractals/13c.jpg,212.1320344,-212.1320344,300.0,0.0,0.0,-300.0,-300.0,0.0,0,3,3,3,8.964423409997835,None,0202,001,2020_ápr_01_1734,trk-encoding,3.2.4,2287.587231833843,
5,OLP,2,0,1,Stimuli/Fractals/118a.jpg,Stimuli/Fractals/118c.jpg,Stimuli/Fractals/118b.jpg,212.1320344,212.1320344,0.0,300.0,300.0,0.0,-212.1320344,-212.1320344,0,4,4,4,9.960140096998657,None,0202,001,2020_ápr_01_1734,trk-encoding,3.2.4,2287.587231833843,
6,OLP,2,0,1,Stimuli/Fractals/119c.jpg,Stimuli/Fractals/119a.jpg,Stimuli/Fractals/119b.jpg,212.1320344,-212.1320344,0.0,-300.0,300.0,0.0,-212.1320344,212.1320344,0,5,5,5,10.96046060200024,None,0202,001,2020_ápr_01_1734,trk-encoding,3.2.4,2287.587231833843,
7,ERP,2,0,1,Stimuli/Fractals/13a.jpg,Stimuli/Fractals/13b.jpg,Stimuli/Fractals/13c.jpg,212.1320344,-212.1320344,300.0,0.0,0.0,-300.0,-300.0,0.0,0,6,6,6,11.959151661998476,None,0202,001,2020_ápr_01_1734,trk-encoding,3.2.4,2287.587231833843,
8,ERP,1,5,1,Stimuli/Fractals/58b.jpg,Stimuli/Fractals/58a.jpg,Stimuli/Fractals/58c.jpg,-212.1320344,-212.1320344,-300.0,0.0,0.0,-300.0,212.1320344,212.1320344,0,7,7,7,12.968013132998749,None,0202,001,2020_ápr_01_1734,trk-encoding,3.2.4,2287.587231833843,
9,LLP,2,0,1,Stimuli/Fractals/135b.jpg,Stimuli/Fractals/135a.jpg,Stimuli/Fractals/135c.jpg,212.1320344,212.1320344,300.0,0.0,0.0,300.0,-212.1320344,-212.1320344,0,8,8,8,13.96059049500036,None,0202,001,2020_ápr_01_1734,trk-encoding,3.2.4,2287.587231833843,
10,LLP,1,4,1,Stimuli/Fractals/130a.jpg,Stimuli/Fractals/130c.jpg,Stimuli/Fractals/130b.jpg,212.1320344,-212.1320344,300.0,0.0,0.0,-300.0,-300.0,0.0,0,9,9,9,14.964003662000323,None,0202,001,2020_ápr_01_1734,trk-encoding,3.2.4,2287.587231833843,
11,ERP,1,1,1,Stimuli/Fractals/72b.jpg,Stimuli/Fractals/72a.jpg,Stimuli/Fractals/72c.jpg,0.0,300.0,-212.1320344,212.1320344,212.1320344,212.1320344,0.0,-300.0,0,10,10,10,16.045079957999405,None,0202,001,2020_ápr_01_1734,trk-encoding,3.2.4,2287.587231833843,
12,OLP,1,4,1,Stimuli/Fractals/82c.jpg,Stimuli/Fractals/82b.jpg,Stimuli/Fractals/82a.jpg,-212.1320344,-212.1320344,-300.0,0.0,0.0,-300.0,212.1320344,212.1320344,0,11,11,11,16.984630760998698,None,0202,001,2020_ápr_01_1734,trk-encoding,3.2.4,2287.587231833843,
13,ERP,2,0,1,Stimuli/Fractals/72b.jpg,Stimuli/Fractals/72a.jpg,Stimuli/Fractals/72c.jpg,0.0,300.0,-212.1320344,212.1320344,212.1320344,212.1320344,0.0,-300.0,0,12,12,12,17.96014151899726,None,0202,001,2020_ápr_01_1734,trk-encoding,3.2.4,2287.587231833843,
14,ERP,2,0,1,Stimuli/Fractals/58b.jpg,Stimuli/Fractals/58a.jpg,Stimuli/Fractals/58c.jpg,-212.1320344,-212.1320344,-300.0,0.0,0.0,-300.0,212.1320344,212.1320344,0,13,13,13,18.96151762500085,None,0202,001,2020_ápr_01_1734,trk-encoding,3.2.4,2287.587231833843,
