TrialIndex,StimType,Order,Delay,ScannerRun,TripletMemberA,TripletMemberB,TripletMemberC,Xcoordinate,Ycoordinate,Xcoordinate_lure1,Ycoordinate_lure1,Xcoordinate_lure2,Ycoordinate_lure2,Xcoordinate_foil,Ycoordinate_foil,run_1.thisRepN,run_1.thisTrialN,run_1.thisN,run_1.thisIndex,setup_text.started,setup_text.stopped,main_image.started,main_image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,OLP,1,3,1,Stimuli/Fractals/118a.jpg,Stimuli/Fractals/118c.jpg,Stimuli/Fractals/118b.jpg,212.1320344,212.1320344,0.0,300.0,300.0,0.0,-212.1320344,-212.1320344,0,0,0,0,6.692696769998292,None,7.760133698000573,None,0202,001,2020_ápr_01_1756,trk-encoding,2020.1.0,967.8540816527567,
2,OLP,1,3,1,Stimuli/Fractals/119c.jpg,Stimuli/Fractals/119a.jpg,Stimuli/Fractals/119b.jpg,212.1320344,-212.1320344,0.0,-300.0,300.0,0.0,-212.1320344,212.1320344,0,1,1,1,,,8.729700017000141,None,0202,001,2020_ápr_01_1756,trk-encoding,2020.1.0,967.8540816527567,
3,LLP,1,5,1,Stimuli/Fractals/135b.jpg,Stimuli/Fractals/135a.jpg,Stimuli/Fractals/135c.jpg,212.1320344,212.1320344,300.0,0.0,0.0,300.0,-212.1320344,-212.1320344,0,2,2,2,,,9.726146436001727,None,0202,001,2020_ápr_01_1756,trk-encoding,2020.1.0,967.8540816527567,
4,ERP,1,2,1,Stimuli/Fractals/13a.jpg,Stimuli/Fractals/13b.jpg,Stimuli/Fractals/13c.jpg,212.1320344,-212.1320344,300.0,0.0,0.0,-300.0,-300.0,0.0,0,3,3,3,,,10.725265466000565,None,0202,001,2020_ápr_01_1756,trk-encoding,2020.1.0,967.8540816527567,
5,OLP,2,0,1,Stimuli/Fractals/118a.jpg,Stimuli/Fractals/118c.jpg,Stimuli/Fractals/118b.jpg,212.1320344,212.1320344,0.0,300.0,300.0,0.0,-212.1320344,-212.1320344,0,4,4,4,,,11.727096041999175,None,0202,001,2020_ápr_01_1756,trk-encoding,2020.1.0,967.8540816527567,
6,OLP,2,0,1,Stimuli/Fractals/119c.jpg,Stimuli/Fractals/119a.jpg,Stimuli/Fractals/119b.jpg,212.1320344,-212.1320344,0.0,-300.0,300.0,0.0,-212.1320344,212.1320344,0,5,5,5,,,12.725958365001134,None,0202,001,2020_ápr_01_1756,trk-encoding,2020.1.0,967.8540816527567,
7,ERP,2,0,1,Stimuli/Fractals/13a.jpg,Stimuli/Fractals/13b.jpg,Stimuli/Fractals/13c.jpg,212.1320344,-212.1320344,300.0,0.0,0.0,-300.0,-300.0,0.0,0,6,6,6,,,13.725169302000722,None,0202,001,2020_ápr_01_1756,trk-encoding,2020.1.0,967.8540816527567,
8,ERP,1,5,1,Stimuli/Fractals/58b.jpg,Stimuli/Fractals/58a.jpg,Stimuli/Fractals/58c.jpg,-212.1320344,-212.1320344,-300.0,0.0,0.0,-300.0,212.1320344,212.1320344,0,7,7,7,,,14.726809891999437,None,0202,001,2020_ápr_01_1756,trk-encoding,2020.1.0,967.8540816527567,
9,LLP,2,0,1,Stimuli/Fractals/135b.jpg,Stimuli/Fractals/135a.jpg,Stimuli/Fractals/135c.jpg,212.1320344,212.1320344,300.0,0.0,0.0,300.0,-212.1320344,-212.1320344,0,8,8,8,,,15.726838119000604,None,0202,001,2020_ápr_01_1756,trk-encoding,2020.1.0,967.8540816527567,
10,LLP,1,4,1,Stimuli/Fractals/130a.jpg,Stimuli/Fractals/130c.jpg,Stimuli/Fractals/130b.jpg,212.1320344,-212.1320344,300.0,0.0,0.0,-300.0,-300.0,0.0,0,9,9,9,,,16.724894423001388,None,0202,001,2020_ápr_01_1756,trk-encoding,2020.1.0,967.8540816527567,
11,ERP,1,1,1,Stimuli/Fractals/72b.jpg,Stimuli/Fractals/72a.jpg,Stimuli/Fractals/72c.jpg,0.0,300.0,-212.1320344,212.1320344,212.1320344,212.1320344,0.0,-300.0,0,10,10,10,,,17.725370575000852,None,0202,001,2020_ápr_01_1756,trk-encoding,2020.1.0,967.8540816527567,
