TrialIndex,Jitter,ScannerRun,StimType,Order,Delay,CurrentImage,CurrentX,CurrentY,TripletMemberA,TripletMemberB,TripletMemberC,Xcoordinate,Ycoordinate,Xcoordinate_lure1,Ycoordinate_lure1,Xcoordinate_lure2,Ycoordinate_lure2,Xcoordinate_foil,Ycoordinate_foil,run_1.thisRepN,run_1.thisTrialN,run_1.thisN,run_1.thisIndex,setup_text.started,setup_text.stopped,main_image.started,main_image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,2000,1,OLP,1,3,stimuli/fractals/101b.jpg,212.1320344,212.1320344,stimuli/fractals/101b.jpg,stimuli/fractals/101a.jpg,stimuli/fractals/101c.jpg,212.1320344,212.1320344,0.0,300.0,300.0,0.0,-212.1320344,-212.1320344,0,0,0,0,4.529436028999044,None,5.811046060000081,None,456,001,2020_ápr_11_1655,trk-encoding,2020.1.0,972.7434372766056,
2,6000,1,OLP,1,3,stimuli/fractals/97b.jpg,212.1320344,-212.1320344,stimuli/fractals/97b.jpg,stimuli/fractals/97c.jpg,stimuli/fractals/97a.jpg,212.1320344,-212.1320344,0.0,-300.0,300.0,0.0,-212.1320344,212.1320344,0,1,1,1,,,6.670683024000027,None,456,001,2020_ápr_11_1655,trk-encoding,2020.1.0,972.7434372766056,
3,2000,1,LLP,1,5,stimuli/fractals/76b.jpg,212.1320344,212.1320344,stimuli/fractals/76b.jpg,stimuli/fractals/76c.jpg,stimuli/fractals/76a.jpg,212.1320344,212.1320344,300.0,0.0,0.0,300.0,-212.1320344,-212.1320344,0,2,2,2,,,7.681194231001427,None,456,001,2020_ápr_11_1655,trk-encoding,2020.1.0,972.7434372766056,
4,1000,1,ERP,1,2,stimuli/fractals/19a.jpg,212.1320344,-212.1320344,stimuli/fractals/19a.jpg,stimuli/fractals/19c.jpg,stimuli/fractals/19b.jpg,212.1320344,-212.1320344,300.0,0.0,0.0,-300.0,-300.0,0.0,0,3,3,3,,,8.646135682000022,None,456,001,2020_ápr_11_1655,trk-encoding,2020.1.0,972.7434372766056,
5,5000,1,OLP,2,0,stimuli/fractals/101a.jpg,212.1320344,212.1320344,stimuli/fractals/101b.jpg,stimuli/fractals/101a.jpg,stimuli/fractals/101c.jpg,212.1320344,212.1320344,0.0,300.0,300.0,0.0,-212.1320344,-212.1320344,0,4,4,4,,,9.555622121999477,None,456,001,2020_ápr_11_1655,trk-encoding,2020.1.0,972.7434372766056,
6,3000,1,OLP,2,0,stimuli/fractals/97c.jpg,212.1320344,-212.1320344,stimuli/fractals/97b.jpg,stimuli/fractals/97c.jpg,stimuli/fractals/97a.jpg,212.1320344,-212.1320344,0.0,-300.0,300.0,0.0,-212.1320344,212.1320344,0,5,5,5,,,10.555615165001655,None,456,001,2020_ápr_11_1655,trk-encoding,2020.1.0,972.7434372766056,
7,6000,1,ERP,2,0,stimuli/fractals/19a.jpg,212.1320344,-212.1320344,stimuli/fractals/19a.jpg,stimuli/fractals/19c.jpg,stimuli/fractals/19b.jpg,212.1320344,-212.1320344,300.0,0.0,0.0,-300.0,-300.0,0.0,0,6,6,6,,,11.555267178002396,None,456,001,2020_ápr_11_1655,trk-encoding,2020.1.0,972.7434372766056,
8,2000,1,ERP,1,5,stimuli/fractals/14c.jpg,-212.1320344,-212.1320344,stimuli/fractals/14c.jpg,stimuli/fractals/14b.jpg,stimuli/fractals/14a.jpg,-212.1320344,-212.1320344,-300.0,0.0,0.0,-300.0,212.1320344,212.1320344,0,7,7,7,,,12.68092879699907,None,456,001,2020_ápr_11_1655,trk-encoding,2020.1.0,972.7434372766056,
9,2000,1,LLP,2,0,stimuli/fractals/76b.jpg,300.0,0.0,stimuli/fractals/76b.jpg,stimuli/fractals/76c.jpg,stimuli/fractals/76a.jpg,212.1320344,212.1320344,300.0,0.0,0.0,300.0,-212.1320344,-212.1320344,0,8,8,8,,,13.555703941001411,None,456,001,2020_ápr_11_1655,trk-encoding,2020.1.0,972.7434372766056,
10,3000,1,LLP,1,4,stimuli/fractals/27a.jpg,212.1320344,-212.1320344,stimuli/fractals/27a.jpg,stimuli/fractals/27c.jpg,stimuli/fractals/27b.jpg,212.1320344,-212.1320344,300.0,0.0,0.0,-300.0,-300.0,0.0,0,9,9,9,,,14.678928358000121,None,456,001,2020_ápr_11_1655,trk-encoding,2020.1.0,972.7434372766056,
11,2000,1,ERP,1,1,stimuli/fractals/63c.jpg,0.0,300.0,stimuli/fractals/63c.jpg,stimuli/fractals/63b.jpg,stimuli/fractals/63a.jpg,0.0,300.0,-212.1320344,212.1320344,212.1320344,212.1320344,0.0,-300.0,0,10,10,10,,,15.66645981900001,None,456,001,2020_ápr_11_1655,trk-encoding,2020.1.0,972.7434372766056,
