TrialIndex,Jitter,ScannerRun,StimType,Order,Delay,CurrentImage,CurrentX,CurrentY,TripletMemberA,TripletMemberB,TripletMemberC,Xcoordinate,Ycoordinate,Xcoordinate_lure1,Ycoordinate_lure1,Xcoordinate_lure2,Ycoordinate_lure2,Xcoordinate_foil,Ycoordinate_foil,runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,setup_text.started,setup_text.stopped,main_image.started,main_image.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,2000,1,OLP,1,3,stimuli/fractals/101b.jpg,212.1320344,212.1320344,stimuli/fractals/101b.jpg,stimuli/fractals/101a.jpg,stimuli/fractals/101c.jpg,212.1320344,212.1320344,0.0,300.0,300.0,0.0,-212.1320344,-212.1320344,0,0,0,0,0,0,0,0,14.737182696997479,None,15.805454777997511,None,,,465456,001,2020_ápr_11_1910,trk-encoding,2020.1.0,1069.9565401114291,
2,6000,1,OLP,1,3,stimuli/fractals/97b.jpg,212.1320344,-212.1320344,stimuli/fractals/97b.jpg,stimuli/fractals/97c.jpg,stimuli/fractals/97a.jpg,212.1320344,-212.1320344,0.0,-300.0,300.0,0.0,-212.1320344,212.1320344,0,0,0,0,0,1,1,1,,,16.767773163999664,None,,,465456,001,2020_ápr_11_1910,trk-encoding,2020.1.0,1069.9565401114291,
3,2000,1,LLP,1,5,stimuli/fractals/76b.jpg,212.1320344,212.1320344,stimuli/fractals/76b.jpg,stimuli/fractals/76c.jpg,stimuli/fractals/76a.jpg,212.1320344,212.1320344,300.0,0.0,0.0,300.0,-212.1320344,-212.1320344,0,0,0,0,0,2,2,2,,,17.764254064997658,None,,,465456,001,2020_ápr_11_1910,trk-encoding,2020.1.0,1069.9565401114291,
4,1000,1,ERP,1,2,stimuli/fractals/19a.jpg,212.1320344,-212.1320344,stimuli/fractals/19a.jpg,stimuli/fractals/19c.jpg,stimuli/fractals/19b.jpg,212.1320344,-212.1320344,300.0,0.0,0.0,-300.0,-300.0,0.0,0,0,0,0,0,3,3,3,,,18.765499755998462,None,,,465456,001,2020_ápr_11_1910,trk-encoding,2020.1.0,1069.9565401114291,
5,5000,1,OLP,2,0,stimuli/fractals/101a.jpg,212.1320344,212.1320344,stimuli/fractals/101b.jpg,stimuli/fractals/101a.jpg,stimuli/fractals/101c.jpg,212.1320344,212.1320344,0.0,300.0,300.0,0.0,-212.1320344,-212.1320344,0,0,0,0,0,4,4,4,,,19.765278502,None,,,465456,001,2020_ápr_11_1910,trk-encoding,2020.1.0,1069.9565401114291,
,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,20.73036728599982,None,465456,001,2020_ápr_11_1910,trk-encoding,2020.1.0,1069.9565401114291,
6,3000,1,OLP,2,0,stimuli/fractals/97c.jpg,212.1320344,-212.1320344,stimuli/fractals/97b.jpg,stimuli/fractals/97c.jpg,stimuli/fractals/97a.jpg,212.1320344,-212.1320344,0.0,-300.0,300.0,0.0,-212.1320344,212.1320344,1,0,1,0,0,0,0,0,,,21.79532256299717,None,,,465456,001,2020_ápr_11_1910,trk-encoding,2020.1.0,1069.9565401114291,
7,6000,1,ERP,2,0,stimuli/fractals/19a.jpg,212.1320344,-212.1320344,stimuli/fractals/19a.jpg,stimuli/fractals/19c.jpg,stimuli/fractals/19b.jpg,212.1320344,-212.1320344,300.0,0.0,0.0,-300.0,-300.0,0.0,1,0,1,0,0,1,1,1,,,22.765420892999828,None,,,465456,001,2020_ápr_11_1910,trk-encoding,2020.1.0,1069.9565401114291,
8,2000,1,ERP,1,5,stimuli/fractals/14c.jpg,-212.1320344,-212.1320344,stimuli/fractals/14c.jpg,stimuli/fractals/14b.jpg,stimuli/fractals/14a.jpg,-212.1320344,-212.1320344,-300.0,0.0,0.0,-300.0,212.1320344,212.1320344,1,0,1,0,0,2,2,2,,,23.773390012000164,None,,,465456,001,2020_ápr_11_1910,trk-encoding,2020.1.0,1069.9565401114291,
9,2000,1,LLP,2,0,stimuli/fractals/76b.jpg,300.0,0.0,stimuli/fractals/76b.jpg,stimuli/fractals/76c.jpg,stimuli/fractals/76a.jpg,212.1320344,212.1320344,300.0,0.0,0.0,300.0,-212.1320344,-212.1320344,1,0,1,0,0,3,3,3,,,24.76472700699742,None,,,465456,001,2020_ápr_11_1910,trk-encoding,2020.1.0,1069.9565401114291,
