TrialIndex,StimType,Order,Delay,ScannerRun,TripletMemberA,TripletMemberB,TripletMemberC,Xcoordinate,Ycoordinate,Xcoordinate_lure1,Ycoordinate_lure1,Xcoordinate_lure2,Ycoordinate_lure2,Xcoordinate_foil,Ycoordinate_foil,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,main_image.started,main_image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,OLP,1,3,1,Stimuli/Fractals/118a.jpg,Stimuli/Fractals/118c.jpg,Stimuli/Fractals/118b.jpg,212.1320344,212.1320344,0.0,300.0,300.0,0.0,-212.1320344,-212.1320344,0,0,0,0,32.38758227299695,None,builder_stim_table.csv,001,2020_márc_30_2123,trk-encoding,3.2.4,951.2455281663623,
2,OLP,1,3,1,Stimuli/Fractals/119c.jpg,Stimuli/Fractals/119a.jpg,Stimuli/Fractals/119b.jpg,212.1320344,-212.1320344,0.0,-300.0,300.0,0.0,-212.1320344,212.1320344,0,1,1,1,33.35164939900278,None,builder_stim_table.csv,001,2020_márc_30_2123,trk-encoding,3.2.4,951.2455281663623,
3,LLP,1,5,1,Stimuli/Fractals/135b.jpg,Stimuli/Fractals/135a.jpg,Stimuli/Fractals/135c.jpg,212.1320344,212.1320344,300.0,0.0,0.0,300.0,-212.1320344,-212.1320344,0,2,2,2,34.348154054998304,None,builder_stim_table.csv,001,2020_márc_30_2123,trk-encoding,3.2.4,951.2455281663623,
4,ERP,1,2,1,Stimuli/Fractals/13a.jpg,Stimuli/Fractals/13b.jpg,Stimuli/Fractals/13c.jpg,212.1320344,-212.1320344,300.0,0.0,0.0,-300.0,-300.0,0.0,0,3,3,3,35.34568436200061,None,builder_stim_table.csv,001,2020_márc_30_2123,trk-encoding,3.2.4,951.2455281663623,
5,OLP,2,0,1,Stimuli/Fractals/118a.jpg,Stimuli/Fractals/118c.jpg,Stimuli/Fractals/118b.jpg,212.1320344,212.1320344,0.0,300.0,300.0,0.0,-212.1320344,-212.1320344,0,4,4,4,36.34848920499644,None,builder_stim_table.csv,001,2020_márc_30_2123,trk-encoding,3.2.4,951.2455281663623,
6,OLP,2,0,1,Stimuli/Fractals/119c.jpg,Stimuli/Fractals/119a.jpg,Stimuli/Fractals/119b.jpg,212.1320344,-212.1320344,0.0,-300.0,300.0,0.0,-212.1320344,212.1320344,0,5,5,5,37.34707969799638,None,builder_stim_table.csv,001,2020_márc_30_2123,trk-encoding,3.2.4,951.2455281663623,
7,ERP,2,0,1,Stimuli/Fractals/13a.jpg,Stimuli/Fractals/13b.jpg,Stimuli/Fractals/13c.jpg,212.1320344,-212.1320344,300.0,0.0,0.0,-300.0,-300.0,0.0,0,6,6,6,38.34543390399631,None,builder_stim_table.csv,001,2020_márc_30_2123,trk-encoding,3.2.4,951.2455281663623,
8,ERP,1,5,1,Stimuli/Fractals/58b.jpg,Stimuli/Fractals/58a.jpg,Stimuli/Fractals/58c.jpg,-212.1320344,-212.1320344,-300.0,0.0,0.0,-300.0,212.1320344,212.1320344,0,7,7,7,39.34932583999762,None,builder_stim_table.csv,001,2020_márc_30_2123,trk-encoding,3.2.4,951.2455281663623,
9,LLP,2,0,1,Stimuli/Fractals/135b.jpg,Stimuli/Fractals/135a.jpg,Stimuli/Fractals/135c.jpg,212.1320344,212.1320344,300.0,0.0,0.0,300.0,-212.1320344,-212.1320344,0,8,8,8,40.346967085999495,None,builder_stim_table.csv,001,2020_márc_30_2123,trk-encoding,3.2.4,951.2455281663623,
10,LLP,1,4,1,Stimuli/Fractals/130a.jpg,Stimuli/Fractals/130c.jpg,Stimuli/Fractals/130b.jpg,212.1320344,-212.1320344,300.0,0.0,0.0,-300.0,-300.0,0.0,0,9,9,9,41.34472299800109,None,builder_stim_table.csv,001,2020_márc_30_2123,trk-encoding,3.2.4,951.2455281663623,
11,ERP,1,1,1,Stimuli/Fractals/72b.jpg,Stimuli/Fractals/72a.jpg,Stimuli/Fractals/72c.jpg,0.0,300.0,-212.1320344,212.1320344,212.1320344,212.1320344,0.0,-300.0,0,10,10,10,42.344778288003,None,builder_stim_table.csv,001,2020_márc_30_2123,trk-encoding,3.2.4,951.2455281663623,
12,OLP,1,4,1,Stimuli/Fractals/82c.jpg,Stimuli/Fractals/82b.jpg,Stimuli/Fractals/82a.jpg,-212.1320344,-212.1320344,-300.0,0.0,0.0,-300.0,212.1320344,212.1320344,0,11,11,11,43.34681205700326,None,builder_stim_table.csv,001,2020_márc_30_2123,trk-encoding,3.2.4,951.2455281663623,
13,ERP,2,0,1,Stimuli/Fractals/72b.jpg,Stimuli/Fractals/72a.jpg,Stimuli/Fractals/72c.jpg,0.0,300.0,-212.1320344,212.1320344,212.1320344,212.1320344,0.0,-300.0,0,12,12,12,44.34476804199949,None,builder_stim_table.csv,001,2020_márc_30_2123,trk-encoding,3.2.4,951.2455281663623,
14,ERP,2,0,1,Stimuli/Fractals/58b.jpg,Stimuli/Fractals/58a.jpg,Stimuli/Fractals/58c.jpg,-212.1320344,-212.1320344,-300.0,0.0,0.0,-300.0,212.1320344,212.1320344,0,13,13,13,45.349643096000364,None,builder_stim_table.csv,001,2020_márc_30_2123,trk-encoding,3.2.4,951.2455281663623,
