TrialIndex,Jitter,ScannerRun,StimType,Order,Delay,CurrentImage,CurrentX,CurrentY,TripletMemberA,TripletMemberB,TripletMemberC,Xcoordinate,Ycoordinate,Xcoordinate_lure1,Ycoordinate_lure1,Xcoordinate_lure2,Ycoordinate_lure2,Xcoordinate_foil,Ycoordinate_foil,comprehension_questions_1.thisRepN,comprehension_questions_1.thisTrialN,comprehension_questions_1.thisN,comprehension_questions_1.thisIndex,comprehension_questions_2.thisRepN,comprehension_questions_2.thisTrialN,comprehension_questions_2.thisN,comprehension_questions_2.thisIndex,enc_practice_trials.thisRepN,enc_practice_trials.thisTrialN,enc_practice_trials.thisN,enc_practice_trials.thisIndex,enc_runs.thisRepN,enc_runs.thisTrialN,enc_runs.thisN,enc_runs.thisIndex,enc_trials.thisRepN,enc_trials.thisTrialN,enc_trials.thisN,enc_trials.thisIndex,experiment_information_text.started,experiment_information_text.stopped,experiment_information_key.keys,experiment_information_key.rt,experiment_information_key.started,experiment_information_key.stopped,experiment_information_continue.started,experiment_information_continue.stopped,lab_thanks.started,lab_thanks.stopped,lab_key.keys,lab_key.rt,lab_key.started,lab_key.stopped,lab_introduction_continue.started,lab_introduction_continue.stopped,lab_members.started,lab_members.stopped,start_encoding_text.started,start_encoding_text.stopped,enc_instructions_1_text.started,enc_instructions_1_text.stopped,enc_instructions_1_image.started,enc_instructions_1_image.stopped,enc_instructions_1_key.keys,enc_instructions_1_key.rt,enc_instructions_1_key.started,enc_instructions_1_key.stopped,instructions_1_continue.started,instructions_1_continue.stopped,enc_instructions_2_text.started,enc_instructions_2_text.stopped,enc_instructions_2_image.started,enc_instructions_2_image.stopped,enc_instructions_2_key.keys,enc_instructions_2_key.rt,enc_instructions_2_key.started,enc_instructions_2_key.stopped,instructions_2_continue.started,instructions_2_continue.stopped,enc_instructions_3_text.started,enc_instructions_3_text.stopped,enc_instructions_3_key.keys,enc_instructions_3_key.rt,enc_instructions_3_key.started,enc_instructions_3_key.stopped,enc_instructions_3_continue.started,enc_instructions_3_continue.stopped,start_practice_text.started,start_practice_text.stopped,end_practice_text.started,end_practice_text.stopped,end_practice_key.keys,end_practice_key.rt,end_practice_key.started,end_practice_key.stopped,end_practice_continue.started,end_practice_continue.stopped,start_enc_run_text.started,start_enc_run_text.stopped,enc_fx_interior.started,enc_fx_interior.stopped,enc_fx_cross.started,enc_fx_cross.stopped,enc_fx_key.keys,enc_fx_key.started,enc_fx_key.stopped,enc_trial_interior.started,enc_trial_interior.stopped,enc_trial_main_image.started,enc_trial_main_image.stopped,enc_trial_key.keys,enc_trial_key.started,enc_trial_key.stopped,A vizsgálat feltételeibe (https://sites.google.com/view/magnesesrezonancia/vizsgálatok/online-vizsgálat) beleegyezem (igen/nem).,Az adatkezelési feltételeket (https://sites.google.com/view/magnesesrezonancia/vizsgálatok/online-vizsgálat) elfogadom (igen/nem).,Nem*,Kor*,Oktatás éve (oktatási intézményben eltöltött összes évek száma)*,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.6860712999478,None,right,0.743476799922064,28.5907168998383,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,i,24,18,15,2020_Jun_04_1039,TRK-online,2020.1.3,60.024514058447785,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.5907168998383,None,29.41040869988501,None,right,1.4834588000085205,29.41040869988501,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,i,24,18,15,2020_Jun_04_1039,TRK-online,2020.1.3,60.024514058447785,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.391175400000066,None,29.41040869988501,None,30.940744099905714,None,32.44081439985894,None,32.44081439985894,None,right,0.44564820011146367,37.42429009987973,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,i,24,18,15,2020_Jun_04_1039,TRK-online,2020.1.3,60.024514058447785,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.42429009987973,None,37.891309399856254,None,37.891309399856254,None,right,0.09931399999186397,42.8744083000347,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,i,24,18,15,2020_Jun_04_1039,TRK-online,2020.1.3,60.024514058447785,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.8744083000347,None,42.99102779990062,None,right,0.08710750006139278,47.97469489998184,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,i,24,18,15,2020_Jun_04_1039,TRK-online,2020.1.3,60.024514058447785,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.97469489998184,None,48.091111599933356,None,49.091145999962464,None,right,0.23527860012836754,50.07452160003595,None,,,,,,,,,,,,,,,,,,,i,i,24,18,15,2020_Jun_04_1039,TRK-online,2020.1.3,60.024514058447785,
1,2000,1,OLP,1,3,stimuli/fractals/126a.jpg,475.0,625.0,stimuli/fractals/126a.jpg,stimuli/fractals/126c.jpg,stimuli/fractals/126b.jpg,475,625,325,625,475,475,925,175,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.07452160003595,None,50.32454599998891,None,52.3746048999019,None,52.3746048999019,None,None,52.3746048999019,None,54.424489700002596,None,54.424489700002596,None,None,54.424489700002596,None,i,i,24,18,15,2020_Jun_04_1039,TRK-online,2020.1.3,60.024514058447785,
2,6000,1,OLP,1,3,stimuli/fractals/116b.jpg,625.0,475.0,stimuli/fractals/116b.jpg,stimuli/fractals/116a.jpg,stimuli/fractals/116c.jpg,625,475,625,625,775,475,175,175,,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.39122639992274,None,57.39122639992274,None,None,57.39122639992274,None,63.424964000005275,None,63.424964000005275,None,None,63.424964000005275,None,i,i,24,18,15,2020_Jun_04_1039,TRK-online,2020.1.3,60.024514058447785,
3,2000,1,LLP,1,5,stimuli/fractals/24c.jpg,625.0,325.0,stimuli/fractals/24c.jpg,stimuli/fractals/24b.jpg,stimuli/fractals/24a.jpg,625,325,625,175,475,325,175,625,,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.4083497999236,None,66.4083497999236,None,None,66.4083497999236,None,68.44171129981987,None,68.44171129981987,None,None,68.44171129981987,None,i,i,24,18,15,2020_Jun_04_1039,TRK-online,2020.1.3,60.024514058447785,
4,1000,1,ERP,1,2,stimuli/fractals/22a.jpg,175.0,625.0,stimuli/fractals/22a.jpg,stimuli/fractals/22b.jpg,stimuli/fractals/22c.jpg,175,625,325,625,175,475,775,175,,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.424898999976,None,71.424898999976,None,None,71.424898999976,None,72.45849419990554,None,72.45849419990554,None,None,72.45849419990554,None,i,i,24,18,15,2020_Jun_04_1039,TRK-online,2020.1.3,60.024514058447785,
