TrialIndex,Jitter,ScannerRun,StimType,Order,Delay,CurrentImage,CurrentX,CurrentY,TripletMemberA,TripletMemberB,TripletMemberC,Xcoordinate,Ycoordinate,Xcoordinate_lure1,Ycoordinate_lure1,Xcoordinate_lure2,Ycoordinate_lure2,Xcoordinate_foil,Ycoordinate_foil,comprehension_questions_1.thisRepN,comprehension_questions_1.thisTrialN,comprehension_questions_1.thisN,comprehension_questions_1.thisIndex,comprehension_questions_2.thisRepN,comprehension_questions_2.thisTrialN,comprehension_questions_2.thisN,comprehension_questions_2.thisIndex,enc_practice_trials.thisRepN,enc_practice_trials.thisTrialN,enc_practice_trials.thisN,enc_practice_trials.thisIndex,enc_runs.thisRepN,enc_runs.thisTrialN,enc_runs.thisN,enc_runs.thisIndex,enc_trials.thisRepN,enc_trials.thisTrialN,enc_trials.thisN,enc_trials.thisIndex,experiment_information_text.started,experiment_information_text.stopped,experiment_information_key.keys,experiment_information_key.rt,experiment_information_key.started,experiment_information_key.stopped,experiment_information_continue.started,experiment_information_continue.stopped,lab_thanks.started,lab_thanks.stopped,lab_key.keys,lab_key.rt,lab_key.started,lab_key.stopped,lab_introduction_continue.started,lab_introduction_continue.stopped,lab_members.started,lab_members.stopped,start_encoding_text.started,start_encoding_text.stopped,enc_instructions_1_text.started,enc_instructions_1_text.stopped,enc_instructions_1_image.started,enc_instructions_1_image.stopped,enc_instructions_1_key.keys,enc_instructions_1_key.rt,enc_instructions_1_key.started,enc_instructions_1_key.stopped,instructions_1_continue.started,instructions_1_continue.stopped,enc_instructions_2_text.started,enc_instructions_2_text.stopped,enc_instructions_2_image.started,enc_instructions_2_image.stopped,enc_instructions_2_key.keys,enc_instructions_2_key.rt,enc_instructions_2_key.started,enc_instructions_2_key.stopped,instructions_2_continue.started,instructions_2_continue.stopped,enc_instructions_3_text.started,enc_instructions_3_text.stopped,enc_instructions_3_key.keys,enc_instructions_3_key.rt,enc_instructions_3_key.started,enc_instructions_3_key.stopped,enc_instructions_3_continue.started,enc_instructions_3_continue.stopped,start_practice_text.started,start_practice_text.stopped,end_practice_text.started,end_practice_text.stopped,end_practice_key.keys,end_practice_key.rt,end_practice_key.started,end_practice_key.stopped,end_practice_continue.started,end_practice_continue.stopped,start_enc_run_text.started,start_enc_run_text.stopped,enc_fx_interior.started,enc_fx_interior.stopped,enc_fx_cross.started,enc_fx_cross.stopped,enc_fx_key.keys,enc_fx_key.started,enc_fx_key.stopped,enc_trial_interior.started,enc_trial_interior.stopped,enc_trial_main_image.started,enc_trial_main_image.stopped,enc_trial_key.keys,enc_trial_key.rt,enc_trial_key.started,enc_trial_key.stopped,enc_fx_key.rt,A vizsgálat feltételeibe (https://sites.google.com/view/magnesesrezonancia/vizsgálatok/online-vizsgálat) beleegyezem (igen/nem).,Az adatkezelési feltételeket (https://sites.google.com/view/magnesesrezonancia/vizsgálatok/online-vizsgálat) elfogadom (igen/nem).,Nem*,Kor*,Oktatás éve (oktatási intézményben eltöltött összes évek száma)*,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.12217059987597,None,right,4.221982599934563,26.033310299972072,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,i,f,24,15,2020_Jun_04_1051,TRK-online,2020.1.3,59.976309331029555,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.033310299972072,None,30.336244500009343,None,right,0.6791594999376684,30.336244500009343,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,i,f,24,15,2020_Jun_04_1051,TRK-online,2020.1.3,59.976309331029555,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,30.336244500009343,None,31.04992159991525,None,32.549958899850026,None,32.549958899850026,None,right,7.513802699977532,37.5334242999088,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,i,f,24,15,2020_Jun_04_1051,TRK-online,2020.1.3,59.976309331029555,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.5334242999088,None,45.06690720003098,None,45.06690720003098,None,right,1.6528645001817495,50.05033769994043,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,i,f,24,15,2020_Jun_04_1051,TRK-online,2020.1.3,59.976309331029555,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.05033769994043,None,51.73371939989738,None,right,0.18604780011810362,56.717178399907425,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,i,f,24,15,2020_Jun_04_1051,TRK-online,2020.1.3,59.976309331029555,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.717178399907425,None,56.95349009986967,None,57.96761259995401,None,right,0.10464040003716946,58.95062009990215,None,,,,,,,,,,,,,,,,,,,,,i,i,f,24,15,2020_Jun_04_1051,TRK-online,2020.1.3,59.976309331029555,
1,2000,1,OLP,1,3,stimuli/fractals/36a.jpg,225.0,75.0,stimuli/fractals/36a.jpg,stimuli/fractals/36c.jpg,stimuli/fractals/36b.jpg,225,75,375,75,225,225,-375,-225,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.95062009990215,None,59.08389070001431,None,61.1368596998509,None,61.1368596998509,None,None,61.1368596998509,None,63.200564299942926,None,63.200564299942926,None,f,2.6149377000983804,63.200564299942926,None,,i,i,f,24,15,2020_Jun_04_1051,TRK-online,2020.1.3,59.976309331029555,
2,6000,1,OLP,1,3,stimuli/fractals/122b.jpg,375.0,-225.0,stimuli/fractals/122b.jpg,stimuli/fractals/122a.jpg,stimuli/fractals/122c.jpg,375,-225,375,-75,225,-225,-75,75,,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.16722519998439,None,66.16722519998439,None,j,66.16722519998439,None,72.20094649982639,None,72.20094649982639,None,j,0.7024294000584632,72.20094649982639,None,4.488153100013733,i,i,f,24,15,2020_Jun_04_1051,TRK-online,2020.1.3,59.976309331029555,
3,2000,1,LLP,1,5,stimuli/fractals/8c.jpg,75.0,-225.0,stimuli/fractals/8c.jpg,stimuli/fractals/8b.jpg,stimuli/fractals/8a.jpg,75,-225,-75,-225,75,-75,-375,225,,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.18417989998125,None,75.18417989998125,None,None,75.18417989998125,None,77.21784089994617,None,77.21784089994617,None,j,2.8216305000241846,77.21784089994617,None,,i,i,f,24,15,2020_Jun_04_1051,TRK-online,2020.1.3,59.976309331029555,
4,1000,1,ERP,1,2,stimuli/fractals/5a.jpg,-75.0,75.0,stimuli/fractals/5a.jpg,stimuli/fractals/5b.jpg,stimuli/fractals/5c.jpg,-75,75,75,75,-75,225,375,-225,,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.20091350004077,None,80.20091350004077,None,None,80.20091350004077,None,81.21872340003029,None,81.21872340003029,None,j,0.8044702999759465,81.21872340003029,None,,i,i,f,24,15,2020_Jun_04_1051,TRK-online,2020.1.3,59.976309331029555,
5,5000,1,OLP,2,0,stimuli/fractals/36c.jpg,-225.0,-225.0,stimuli/fractals/36a.jpg,stimuli/fractals/36c.jpg,stimuli/fractals/36b.jpg,-225,-225,-75,-225,-225,-75,375,225,,,,,,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.21765779983252,None,84.21765779983252,None,None,84.21765779983252,None,89.25263080000877,None,89.25263080000877,None,f,0.9146473999135196,89.25263080000877,None,,i,i,f,24,15,2020_Jun_04_1051,TRK-online,2020.1.3,59.976309331029555,
6,3000,1,OLP,2,0,stimuli/fractals/122a.jpg,375.0,225.0,stimuli/fractals/122b.jpg,stimuli/fractals/122a.jpg,stimuli/fractals/122c.jpg,375,225,375,75,225,225,75,-225,,,,,,,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.23452880000696,None,92.23452880000696,None,None,92.23452880000696,None,95.26816780003719,None,95.26816780003719,None,f,2.5073810000903904,95.26816780003719,None,,i,i,f,24,15,2020_Jun_04_1051,TRK-online,2020.1.3,59.976309331029555,
7,6000,1,ERP,2,0,stimuli/fractals/5a.jpg,-225.0,225.0,stimuli/fractals/5a.jpg,stimuli/fractals/5b.jpg,stimuli/fractals/5c.jpg,-225,225,-375,225,-75,225,225,-225,,,,,,,,,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.25151430000551,None,98.25151430000551,None,j,98.25151430000551,None,104.26934399991296,None,104.26934399991296,None,None,,104.26934399991296,None,2.65168370003812,i,i,f,24,15,2020_Jun_04_1051,TRK-online,2020.1.3,59.976309331029555,
8,2000,1,ERP,1,5,stimuli/fractals/88c.jpg,375.0,-225.0,stimuli/fractals/88c.jpg,stimuli/fractals/88a.jpg,stimuli/fractals/88b.jpg,375,-225,375,-75,225,-225,-225,-75,,,,,,,,,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.26822039997205,None,107.26822039997205,None,None,107.26822039997205,None,109.30461769993417,None,109.30461769993417,None,j,0.7747390998993069,109.30461769993417,None,,i,i,f,24,15,2020_Jun_04_1051,TRK-online,2020.1.3,59.976309331029555,
