Question,Answer,CorrectResponse,CorrectAnswer,Task,TrialType,StimType,Order,CurrentImage,CurrentX,CurrentY,Jitter,Section,comprehension_questions_1.thisRepN,comprehension_questions_1.thisTrialN,comprehension_questions_1.thisN,comprehension_questions_1.thisIndex,comprehension_questions_2.thisRepN,comprehension_questions_2.thisTrialN,comprehension_questions_2.thisN,comprehension_questions_2.thisIndex,enc_practice_trials.thisRepN,enc_practice_trials.thisTrialN,enc_practice_trials.thisN,enc_practice_trials.thisIndex,experiment_information_text.started,experiment_information_text.stopped,experiment_information_key.keys,experiment_information_key.rt,experiment_information_key.started,experiment_information_key.stopped,experiment_information_continue.started,experiment_information_continue.stopped,comprehension_question_text.started,comprehension_question_text.stopped,comprehension_question_answers.started,comprehension_question_answers.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,comprehension_feedback_text.started,comprehension_feedback_text.stopped,data_protection_text.started,data_protection_text.stopped,data_protection_key.keys,data_protection_key.rt,data_protection_key.started,data_protection_key.stopped,data_procetion_continue.started,data_procetion_continue.stopped,consent_text.started,consent_text.stopped,consent_key.keys,consent_key.rt,consent_key.started,consent_key.stopped,consent_continue.started,consent_continue.stopped,lab_thanks.started,lab_thanks.stopped,lab_key.keys,lab_key.rt,lab_key.started,lab_key.stopped,lab_introduction_continue.started,lab_introduction_continue.stopped,start_encoding_text.started,start_encoding_text.stopped,enc_instructions_1_text.started,enc_instructions_1_text.stopped,enc_instructions_1_image.started,enc_instructions_1_image.stopped,enc_instructions_1_key.keys,enc_instructions_1_key.rt,enc_instructions_1_key.started,enc_instructions_1_key.stopped,instructions_1_continue.started,instructions_1_continue.stopped,enc_instructions_2_text.started,enc_instructions_2_text.stopped,enc_instructions_2_image.started,enc_instructions_2_image.stopped,enc_instructions_2_key.keys,enc_instructions_2_key.rt,enc_instructions_2_key.started,enc_instructions_2_key.stopped,instructions_2_continue.started,instructions_2_continue.stopped,enc_instructions_3_text.started,enc_instructions_3_text.stopped,enc_instructions_3_key.keys,enc_instructions_3_key.rt,enc_instructions_3_key.started,enc_instructions_3_key.stopped,enc_instructions_3_continue.started,enc_instructions_3_continue.stopped,start_practice_text.started,start_practice_text.stopped,enc_fx_map.started,enc_fx_map.stopped,enc_fx_cross.started,enc_fx_cross.stopped,enc_fx_key.keys,enc_fx_key.started,enc_fx_key.stopped,enc_trial_map.started,enc_trial_map.stopped,enc_trial_main_image.started,enc_trial_main_image.stopped,enc_trial_key.keys,enc_trial_key.started,enc_trial_key.stopped,enc_practice_feedback_map.started,enc_practice_feedback_map.stopped,enc_practice_feedback_image.started,enc_practice_feedback_image.stopped,enc_practice_feedback_text.started,enc_practice_feedback_text.stopped,participant,A feltételeket (https://sites.google.com/view/magnesesrezonancia/vizsgálatok/online-vizsgálat) elolvastam és megértettem. (igen/nem)*,Az adatkezelési tájékoztatót (https://sites.google.com/view/magnesesrezonancia/vizsgálatok/online-vizsgálat) elolvastam és megértettem. (igen/nem)*,Nem,Kor,Oktatás éve,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,6.295880224999564,None,right,2.21585648299515,16.29117155900167,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,,,,,,2020_ápr_30_1821,TRK-online,2020.1.0,717.0245432259202,
Mennyi időt vesz igénybe a vizsgálat? Válaszát jelölje a megadott billentyűk egyikével. ,D:20-30 perc    F: 50-60 perc    J: 70-80 perc,b,A helyes válasz: 50-60 perc,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,16.29117155900167,None,18.560818473000836,None,18.560818473000836,None,f,0,12.562651428001118,19.559159532997,None,32.1336133329969,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,,,,,,2020_ápr_30_1821,TRK-online,2020.1.0,717.0245432259202,
"Megbizonyosodott róla, hogy biztosítottak a vizsgálat elvégzéséhez szükséges feltételek? Válaszát jelölje a megadott billentyűk egyikével. ","D: Nem, nincs lehetőségem nyugodt körülmények között elvégezni a feladatot.    S: Igen, körülményeim nyugodtak, az internet kapcsolat stabil, a feladatokra tudok szánni 60 percet.",d,Köszönjük!,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,33.66011112600245,None,33.66011112600245,None,d,1,41.092366679004044,34.660036364002735,None,75.76117515200167,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,,,,,,2020_ápr_30_1821,TRK-online,2020.1.0,717.0245432259202,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.26255739499902,None,right,10.336978063998686,82.26172366199899,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,,,,,,2020_ápr_30_1821,TRK-online,2020.1.0,717.0245432259202,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.26172366199899,None,92.60197954299656,None,right,0.509686301003967,97.60080766699684,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,,,,,,2020_ápr_30_1821,TRK-online,2020.1.0,717.0245432259202,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.60080766699684,None,98.11278317600227,None,right,5.947327718000452,98.11278317600227,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,,,,,,2020_ápr_30_1821,TRK-online,2020.1.0,717.0245432259202,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.10985240699665,None,104.07160699900123,None,105.57920315599767,None,105.57920315599767,None,right,10.462211510995985,110.58512748099747,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,,,,,,2020_ápr_30_1821,TRK-online,2020.1.0,717.0245432259202,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.58512748099747,None,121.05219049299922,None,121.05219049299922,None,right,6.897093575993495,126.05011642500176,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,,,,,,2020_ápr_30_1821,TRK-online,2020.1.0,717.0245432259202,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.05011642500176,None,132.95023661800224,None,right,19.64790886400442,137.94862933699915,None,,,,,,,,,,,,,,,,,,,,,,,,,pilot,,,,,,2020_ápr_30_1821,TRK-online,2020.1.0,717.0245432259202,
"Mely billentyű jelzi azokat a képeket, amelyek maradhatnak a galériában, a bemutatott helyen?",D billentyű    F billentyű   J billentyű    K billentyű,j,A helyes válasz: J billentyű.,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,157.62803130099928,None,157.62803130099928,None,j,1,10.061510014005762,158.62418084999808,None,168.69802658000117,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.94862933699915,None,,,,,,,,,,,,,,,,,,,,,,,pilot,,,,,,2020_ápr_30_1821,TRK-online,2020.1.0,717.0245432259202,
