Task,TrialType,StimType,Order,CurrentImage,CurrentX,CurrentY,Jitter,Section,TrialIndex,ScannerRun,Delay,TripletMemberA,TripletMemberB,TripletMemberC,Xcoordinate,Ycoordinate,Xcoordinate_lure1,Ycoordinate_lure1,Xcoordinate_lure2,Ycoordinate_lure2,Xcoordinate_foil,Ycoordinate_foil,enc_practice_trials.thisRepN,enc_practice_trials.thisTrialN,enc_practice_trials.thisN,enc_practice_trials.thisIndex,enc_runs.thisRepN,enc_runs.thisTrialN,enc_runs.thisN,enc_runs.thisIndex,enc_trials.thisRepN,enc_trials.thisTrialN,enc_trials.thisN,enc_trials.thisIndex,demo_trials.thisRepN,demo_trials.thisTrialN,demo_trials.thisN,demo_trials.thisIndex,DemoImage,DemoX,DemoY,InPractice,DemoText,experiment_information_text.started,experiment_information_text.stopped,experiment_information_key.keys,experiment_information_key.rt,experiment_information_key.started,experiment_information_key.stopped,experiment_information_continue.started,experiment_information_continue.stopped,data_protection_text.started,data_protection_text.stopped,data_protection_key.keys,data_protection_key.rt,data_protection_key.started,data_protection_key.stopped,data_procetion_continue.started,data_procetion_continue.stopped,consent_text.started,consent_text.stopped,consent_key.keys,consent_key.rt,consent_key.started,consent_key.stopped,consent_continue.started,consent_continue.stopped,lab_thanks.started,lab_thanks.stopped,lab_key.keys,lab_key.rt,lab_key.started,lab_key.stopped,lab_introduction_continue.started,lab_introduction_continue.stopped,start_encoding_text.started,start_encoding_text.stopped,enc_instructions_1_text.started,enc_instructions_1_text.stopped,enc_instructions_1_image.started,enc_instructions_1_image.stopped,enc_instructions_1_key.keys,enc_instructions_1_key.rt,enc_instructions_1_key.started,enc_instructions_1_key.stopped,instructions_1_continue.started,instructions_1_continue.stopped,enc_instructions_2_text.started,enc_instructions_2_text.stopped,enc_instructions_2_image.started,enc_instructions_2_image.stopped,enc_instructions_2_key.keys,enc_instructions_2_key.rt,enc_instructions_2_key.started,enc_instructions_2_key.stopped,instructions_2_continue.started,instructions_2_continue.stopped,enc_instructions_3_text.started,enc_instructions_3_text.stopped,enc_instructions_3_key.keys,enc_instructions_3_key.rt,enc_instructions_3_key.started,enc_instructions_3_key.stopped,enc_instructions_3_continue.started,enc_instructions_3_continue.stopped,start_practice_text.started,start_practice_text.stopped,enc_fx_map.started,enc_fx_map.stopped,enc_fx_cross.started,enc_fx_cross.stopped,enc_fx_key.keys,enc_fx_key.started,enc_fx_key.stopped,enc_trial_map.started,enc_trial_map.stopped,enc_trial_main_image.started,enc_trial_main_image.stopped,enc_trial_key.keys,enc_trial_key.rt,enc_trial_key.started,enc_trial_key.stopped,enc_practice_feedback_map.started,enc_practice_feedback_map.stopped,enc_practice_feedback_image.started,enc_practice_feedback_image.stopped,enc_practice_feedback_text.started,enc_practice_feedback_text.stopped,end_practice_text.started,end_practice_text.stopped,end_practice_key.keys,end_practice_key.started,end_practice_key.stopped,start_enc_run_text.started,start_enc_run_text.stopped,end_enc_run_text.started,end_enc_run_text.stopped,enc_run_end_key.keys,enc_run_end_key.rt,enc_run_end_key.started,enc_run_end_key.stopped,start_recognition_text.started,start_recognition_text.stopped,rec_instructions_1_text.started,rec_instructions_1_text.stopped,rec_instructions_1_key.keys,rec_instructions_1_key.started,rec_instructions_1_key.stopped,rec_instructions2_text.started,rec_instructions2_text.stopped,rec_instructions_2_key.keys,rec_instructions_2_key.rt,rec_instructions_2_key.started,rec_instructions_2_key.stopped,rec_instrauction_3_text.started,rec_instrauction_3_text.stopped,rec_instructions_3_key.keys,rec_instructions_3_key.rt,rec_instructions_3_key.started,rec_instructions_3_key.stopped,rec_instructions_4_text.started,rec_instructions_4_text.stopped,rec_instructions_4_key.keys,rec_instructions_4_key.rt,rec_instructions_4_key.started,rec_instructions_4_key.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5815186420004466,None,right,28.137328073004028,13.578004974995565,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,2020_ápr_28_2138,trk-encoding,2020.1.0,1016.4920762186325,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.578004974995565,None,41.71786297899962,None,right,35.98308453299978,46.71599805299775,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,2020_ápr_28_2138,trk-encoding,2020.1.0,1016.4920762186325,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.71599805299775,None,82.70161654299591,None,right,10.463659082000959,87.69976429300004,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,2020_ápr_28_2138,trk-encoding,2020.1.0,1016.4920762186325,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.69976429300004,None,98.16535419399588,None,right,21.144626526998763,98.16535419399588,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,2020_ápr_28_2138,trk-encoding,2020.1.0,1016.4920762186325,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.16376264599967,None,119.32164758599538,None,120.82433212600154,None,120.82433212600154,None,right,45.50128215600125,125.82083313399926,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,2020_ápr_28_2138,trk-encoding,2020.1.0,1016.4920762186325,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.82083313399926,None,171.3260867029967,None,171.3260867029967,None,right,49.40534812200349,176.3264405509981,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,2020_ápr_28_2138,trk-encoding,2020.1.0,1016.4920762186325,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.3264405509981,None,225.73411705799663,None,right,5.58115023499704,230.7316562049964,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,2020_ápr_28_2138,trk-encoding,2020.1.0,1016.4920762186325,
EncodingPractice,LOC,FOIL,1,stimuli/fractals/148b.jpg,212.1320344,212.1320344,1000,Encoding,,,,,,,,,,,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.7316562049964,None,236.31494466299773,None,237.33484164100082,None,237.33484164100082,None,None,237.33484164100082,None,238.40976392599987,None,238.40976392599987,None,j,1.9999888300008024,238.40976392599987,None,241.4216674959971,None,241.4216674959971,None,241.4216674959971,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,2020_ápr_28_2138,trk-encoding,2020.1.0,1016.4920762186325,
EncodingPractice,OBJ,TARGET,1,stimuli/fractals/167a.jpg,300.0,0.0,500,Encoding,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242.3467604010002,None,242.3467604010002,None,None,242.3467604010002,None,242.91738373100088,None,242.91738373100088,None,None,,242.91738373100088,None,245.92109926699777,None,245.92109926699777,None,245.92109926699777,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,2020_ápr_28_2138,trk-encoding,2020.1.0,1016.4920762186325,
EncodingPractice,LOC,LURE,1,stimuli/fractals/159a.jpg,0.0,300.0,5000,Encoding,,,,,,,,,,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.8540316840008,None,246.8540316840008,None,None,246.8540316840008,None,251.9307235649976,None,251.9307235649976,None,None,,251.9307235649976,None,254.93238380699768,None,254.93238380699768,None,254.93238380699768,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,2020_ápr_28_2138,trk-encoding,2020.1.0,1016.4920762186325,
