TrialIndex,Jitter,ScannerRun,StimType,Order,Delay,CurrentImage,CurrentX,CurrentY,TripletMemberA,TripletMemberB,TripletMemberC,Xcoordinate,Ycoordinate,Xcoordinate_lure1,Ycoordinate_lure1,Xcoordinate_lure2,Ycoordinate_lure2,Xcoordinate_foil,Ycoordinate_foil
1.0,2000.0,1.0,OLP,1.0,3.0,stimuli/fractals/46b.jpg,375.0,225.0,stimuli/fractals/46b.jpg,stimuli/fractals/46a.jpg,stimuli/fractals/46c.jpg,375,225,375,75,225,225,-225,-225
2.0,6000.0,1.0,OLP,1.0,3.0,stimuli/fractals/70b.jpg,375.0,-75.0,stimuli/fractals/70b.jpg,stimuli/fractals/70a.jpg,stimuli/fractals/70c.jpg,375,-75,375,75,375,-225,-225,75
3.0,2000.0,1.0,LLP,1.0,5.0,stimuli/fractals/60a.jpg,75.0,-75.0,stimuli/fractals/60a.jpg,stimuli/fractals/60b.jpg,stimuli/fractals/60c.jpg,75,-75,225,-75,-75,-75,-375,225
4.0,1000.0,1.0,ERP,1.0,2.0,stimuli/fractals/3b.jpg,-75.0,225.0,stimuli/fractals/3b.jpg,stimuli/fractals/3c.jpg,stimuli/fractals/3a.jpg,-75,225,-75,75,-225,225,375,-225
5.0,5000.0,1.0,OLP,2.0,0.0,stimuli/fractals/46a.jpg,375.0,225.0,stimuli/fractals/46b.jpg,stimuli/fractals/46a.jpg,stimuli/fractals/46c.jpg,375,225,375,75,225,225,-225,-225
6.0,3000.0,1.0,OLP,2.0,0.0,stimuli/fractals/70a.jpg,375.0,-75.0,stimuli/fractals/70b.jpg,stimuli/fractals/70a.jpg,stimuli/fractals/70c.jpg,375,-75,375,75,375,-225,-225,75
7.0,6000.0,1.0,ERP,2.0,0.0,stimuli/fractals/3b.jpg,-75.0,225.0,stimuli/fractals/3b.jpg,stimuli/fractals/3c.jpg,stimuli/fractals/3a.jpg,-75,225,-75,75,-225,225,375,-225
8.0,2000.0,1.0,ERP,1.0,5.0,stimuli/fractals/55a.jpg,-75.0,-75.0,stimuli/fractals/55a.jpg,stimuli/fractals/55c.jpg,stimuli/fractals/55b.jpg,-75,-75,75,-75,-75,75,375,225
9.0,2000.0,1.0,LLP,2.0,0.0,stimuli/fractals/60a.jpg,225.0,-75.0,stimuli/fractals/60a.jpg,stimuli/fractals/60b.jpg,stimuli/fractals/60c.jpg,75,-75,225,-75,-75,-75,-375,225
10.0,3000.0,1.0,LLP,1.0,4.0,stimuli/fractals/86b.jpg,-75.0,225.0,stimuli/fractals/86b.jpg,stimuli/fractals/86c.jpg,stimuli/fractals/86a.jpg,-75,225,75,225,-225,225,375,-75
