TrialIndex,Jitter,ScannerRun,BlockNr,TrialType,StimType,CurrentImage,CurrentX,CurrentY,EncodingTrialIndex,EncodingStimType,EncodingImage,EncodingXcoordinate,EncodingYcoordinate,TripletMemberA,TripletMemberB,TripletMemberC,Xcoordinate,Ycoordinate,Xcoordinate_lure1,Ycoordinate_lure1,Xcoordinate_lure2,Ycoordinate_lure2,Xcoordinate_foil,Ycoordinate_foil
1,500,,1,OBJ,FOIL,stimuli/fractals/105b.jpg,375.0,-75.0,0.0,FOIL,nan,0.0,0.0,,,,,,,,,,,
2,1000,,1,OBJ,LURE,stimuli/fractals/26c.jpg,75.0,-75.0,1.0,OLP,stimuli/fractals/26b.jpg,75.0,-75.0,stimuli/fractals/26b.jpg,stimuli/fractals/26a.jpg,stimuli/fractals/26c.jpg,75.0,-75.0,225.0,-75.0,75.0,75.0,-375.0,225.0
3,2000,,1,OBJ,TARGET,stimuli/fractals/90c.jpg,-75.0,-75.0,2.0,OLP,stimuli/fractals/90c.jpg,-75.0,-75.0,stimuli/fractals/90c.jpg,stimuli/fractals/90a.jpg,stimuli/fractals/90b.jpg,-75.0,-75.0,75.0,-75.0,-225.0,-75.0,375.0,225.0
4,3000,,1,OBJ,FOIL,stimuli/fractals/32a.jpg,375.0,225.0,0.0,FOIL,nan,0.0,0.0,,,,,,,,,,,
5,2000,,1,OBJ,TARGET,stimuli/fractals/8b.jpg,75.0,-75.0,12.0,OLP,stimuli/fractals/8b.jpg,75.0,-75.0,stimuli/fractals/8b.jpg,stimuli/fractals/8c.jpg,stimuli/fractals/8a.jpg,75.0,-75.0,75.0,75.0,225.0,-75.0,-375.0,225.0
6,1000,,1,OBJ,FOIL,stimuli/fractals/80b.jpg,375.0,-75.0,0.0,FOIL,nan,0.0,0.0,,,,,,,,,,,
7,3000,,1,OBJ,TARGET,stimuli/fractals/79c.jpg,375.0,-225.0,18.0,OLP,stimuli/fractals/79c.jpg,375.0,-225.0,stimuli/fractals/79c.jpg,stimuli/fractals/79b.jpg,stimuli/fractals/79a.jpg,375.0,-225.0,225.0,-225.0,375.0,-75.0,-225.0,225.0
8,1000,,1,OBJ,TARGET,stimuli/fractals/16b.jpg,-375.0,-225.0,4.0,ERP,stimuli/fractals/16b.jpg,-375.0,-225.0,stimuli/fractals/16b.jpg,stimuli/fractals/16c.jpg,stimuli/fractals/16a.jpg,-375.0,-225.0,-225.0,-225.0,-375.0,-75.0,375.0,75.0
9,2000,,1,OBJ,TARGET,stimuli/fractals/113a.jpg,-225.0,-75.0,8.0,ERP,stimuli/fractals/113a.jpg,-225.0,-75.0,stimuli/fractals/113a.jpg,stimuli/fractals/113c.jpg,stimuli/fractals/113b.jpg,-225.0,-75.0,-225.0,75.0,-75.0,-75.0,375.0,-225.0
10,2000,,1,OBJ,FOIL,stimuli/fractals/72c.jpg,375.0,-225.0,0.0,FOIL,nan,0.0,0.0,,,,,,,,,,,
11,6000,,1,OBJ,LURE,stimuli/fractals/74b.jpg,-375.0,225.0,3.0,LLP,stimuli/fractals/74a.jpg,-375.0,225.0,stimuli/fractals/74a.jpg,stimuli/fractals/74c.jpg,stimuli/fractals/74b.jpg,-375.0,225.0,-225.0,225.0,-375.0,75.0,225.0,-75.0
12,2000,,1,OBJ,FOIL,stimuli/fractals/118c.jpg,375.0,75.0,0.0,FOIL,nan,0.0,0.0,,,,,,,,,,,
13,2000,,1,OBJ,LURE,stimuli/fractals/45c.jpg,375.0,225.0,11.0,ERP,stimuli/fractals/45b.jpg,375.0,225.0,stimuli/fractals/45b.jpg,stimuli/fractals/45a.jpg,stimuli/fractals/45c.jpg,375.0,225.0,375.0,75.0,225.0,225.0,-375.0,-225.0
14,3000,,1,OBJ,FOIL,stimuli/fractals/39a.jpg,-75.0,-225.0,0.0,FOIL,nan,0.0,0.0,,,,,,,,,,,
15,2000,,1,OBJ,LURE,stimuli/fractals/91c.jpg,375.0,-75.0,22.0,ERP,stimuli/fractals/91b.jpg,375.0,-75.0,stimuli/fractals/91b.jpg,stimuli/fractals/91a.jpg,stimuli/fractals/91c.jpg,375.0,-75.0,225.0,-75.0,375.0,-225.0,-375.0,-225.0
16,1000,,1,OBJ,LURE,stimuli/fractals/121c.jpg,75.0,-75.0,10.0,LLP,stimuli/fractals/121b.jpg,75.0,-75.0,stimuli/fractals/121b.jpg,stimuli/fractals/121a.jpg,stimuli/fractals/121c.jpg,75.0,-75.0,75.0,-225.0,225.0,-75.0,-375.0,225.0
17,1000,,1,OBJ,TARGET,stimuli/fractals/73a.jpg,-375.0,75.0,16.0,LLP,stimuli/fractals/73a.jpg,-375.0,75.0,stimuli/fractals/73a.jpg,stimuli/fractals/73b.jpg,stimuli/fractals/73c.jpg,-375.0,75.0,-375.0,225.0,-375.0,-75.0,375.0,-225.0
18,500,,1,OBJ,FOIL,stimuli/fractals/3a.jpg,-375.0,-75.0,0.0,FOIL,nan,0.0,0.0,,,,,,,,,,,
19,3000,,2,LOC,TARGET,stimuli/fractals/66b.jpg,75.0,225.0,24.0,ERP,stimuli/fractals/66b.jpg,75.0,225.0,stimuli/fractals/66b.jpg,stimuli/fractals/66c.jpg,stimuli/fractals/66a.jpg,75.0,225.0,-75.0,225.0,75.0,75.0,-375.0,-225.0
20,2000,,2,LOC,FOIL,stimuli/fractals/69a.jpg,-375.0,225.0,28.0,OLP,stimuli/fractals/69a.jpg,375.0,-225.0,stimuli/fractals/69a.jpg,stimuli/fractals/69b.jpg,stimuli/fractals/69c.jpg,375.0,-225.0,225.0,-225.0,375.0,-75.0,-375.0,225.0
21,1000,,2,LOC,LURE,stimuli/fractals/135b.jpg,225.0,-225.0,23.0,LLP,stimuli/fractals/135b.jpg,375.0,-225.0,stimuli/fractals/135b.jpg,stimuli/fractals/135c.jpg,stimuli/fractals/135a.jpg,375.0,-225.0,375.0,-75.0,225.0,-225.0,-375.0,-75.0
