Task,TrialType,StimType,CurrentImage,DemoImage,CurrentX,CurrentY,DemoX,DemoY,InPractice,DemoText,Jitter
Demo,OBJ,LURE,stimuli/fractals/149a.jpg,stimuli/fractals/149b.jpg,300,0,-300,0,-,Hasonl\u00f3 Képek,1000
Demo,OBJ,LURE,stimuli/fractals/181b.jpg,stimuli/fractals/181c.jpg,300,0,-300,0,-,Hasonl\u00f3 Képek,2300
Demo,OBJ,LURE,stimuli/fractals/177b.jpg,stimuli/fractals/177c.jpg,300,0,-300,0,-,Hasonl\u00f3 Képek,800
Demo,OBJ,LURE,stimuli/fractals/167a.jpg,stimuli/fractals/167b.jpg,300,0,-300,0,OBJ-TARGET,Hasonl\u00f3 Képek,1500
Demo,OBJ,FOIL,stimuli/fractals/163a.jpg,stimuli/fractals/173c.jpg,300,0,-300,0,-,\u00daj Képek,600
Demo,LOC,LURE,stimuli/fractals/166a.jpg,stimuli/fractals/166a.jpg,-300,0,-212.1320344,-212.1320344,"LOC-TARGET, OBJ-LURE",Hasonl\u00f3 Helyek,800
Demo,LOC,LURE,stimuli/fractals/159a.jpg,stimuli/fractals/159a.jpg,0,300,-212.1320344,212.1320344,LOC-LURE,Hasonl\u00f3 Helyek,1500
Demo,LOC,LURE,stimuli/fractals/148b.jpg,stimuli/fractals/148b.jpg,212.1320344,212.1320344,0,300,LOC-FOIL,Hasonl\u00f3 Helyek,800
Demo,LOC,FOIL,stimuli/fractals/177b.jpg,stimuli/fractals/177b.jpg,300,0,-212.1320344,212.1320344,OBJ-LURE,\u00daj Helyek,800
Demo,LOC,FOIL,stimuli/fractals/177b.jpg,stimuli/fractals/177b.jpg,300,0,-300,0,OBJ-LURE,\u00daj Helyek,1200
