,TrialIndex,BlockNr,TrialType,EncodingStimType,StimType,ImagePresented,Xcoordinate,Ycoordinate,EncodingTrialIndex,EncodingImage,EncodingXcoordinate,EncodingYcoordinate,FILLING
0,1,1,OBJ,FOIL,FOIL,Stimuli/Fractals/1b.jpg,-299.9187724,-6.980686912,0.0,nan,0.0,0.0,0
1,2,1,OBJ,OLP,LURE,Stimuli/Fractals/118b.jpg,212.1320344,212.1320344,1.0,Stimuli/Fractals/118a.jpg,212.1320344,212.1320344,0
2,3,1,OBJ,OLP,TARGET,Stimuli/Fractals/119c.jpg,212.1320344,-212.1320344,2.0,Stimuli/Fractals/119c.jpg,212.1320344,-212.1320344,0
3,4,1,OBJ,FOIL,FOIL,Stimuli/Fractals/127a.jpg,-299.2692151,-20.92694212,0.0,nan,0.0,0.0,0
4,5,1,OBJ,OLP,TARGET,Stimuli/Fractals/82c.jpg,-212.1320344,-212.1320344,12.0,Stimuli/Fractals/82c.jpg,-212.1320344,-212.1320344,0
5,6,1,OBJ,FOIL,FOIL,Stimuli/Fractals/86b.jpg,-297.9715073,-34.82787424,0.0,nan,0.0,0.0,0
6,7,1,OBJ,OLP,TARGET,Stimuli/Fractals/116b.jpg,0.0,300.0,18.0,Stimuli/Fractals/116b.jpg,0.0,300.0,0
7,8,1,OBJ,ERP,TARGET,Stimuli/Fractals/13a.jpg,212.1320344,-212.1320344,4.0,Stimuli/Fractals/13a.jpg,212.1320344,-212.1320344,0
8,9,1,OBJ,ERP,TARGET,Stimuli/Fractals/58b.jpg,-212.1320344,-212.1320344,8.0,Stimuli/Fractals/58b.jpg,-212.1320344,-212.1320344,0
9,10,1,OBJ,FOIL,FOIL,Stimuli/Fractals/125b.jpg,-299.9187724,-6.980686912,0.0,nan,0.0,0.0,0
10,11,1,OBJ,LLP,LURE,Stimuli/Fractals/135c.jpg,212.1320344,212.1320344,3.0,Stimuli/Fractals/135b.jpg,212.1320344,212.1320344,0
11,12,1,OBJ,FOIL,FOIL,Stimuli/Fractals/36b.jpg,-296.0284596,-48.65337693,0.0,nan,0.0,0.0,0
12,13,1,OBJ,ERP,LURE,Stimuli/Fractals/72c.jpg,0.0,300.0,11.0,Stimuli/Fractals/72b.jpg,0.0,300.0,0
13,14,1,OBJ,FOIL,FOIL,Stimuli/Fractals/121a.jpg,-293.4442802,-62.37350725,0.0,nan,0.0,0.0,0
14,15,1,OBJ,ERP,LURE,Stimuli/Fractals/126b.jpg,-300.0,0.0,22.0,Stimuli/Fractals/126c.jpg,-300.0,0.0,0
15,16,1,OBJ,LLP,LURE,Stimuli/Fractals/130b.jpg,212.1320344,-212.1320344,10.0,Stimuli/Fractals/130a.jpg,212.1320344,-212.1320344,0
16,17,1,OBJ,LLP,TARGET,Stimuli/Fractals/40c.jpg,-212.1320344,-212.1320344,16.0,Stimuli/Fractals/40c.jpg,-212.1320344,-212.1320344,0
17,18,1,OBJ,FOIL,FOIL,Stimuli/Fractals/32c.jpg,-290.2245658,-75.95855043,0.0,nan,0.0,0.0,0
18,19,2,LOC,ERP,TARGET,Stimuli/Fractals/56b.jpg,212.1320344,-212.1320344,24.0,Stimuli/Fractals/56b.jpg,212.1320344,-212.1320344,0
19,20,2,LOC,OLP,FOIL,Stimuli/Fractals/88c.jpg,0.0,300.0,28.0,Stimuli/Fractals/88c.jpg,0.0,-300.0,0
