TrialIndex,Jitter,ScannerRun,BlockNr,TrialType,StimType,Order,Delay,CurrentImage,CurrentX,CurrentY,TripletMemberA,TripletMemberB,TripletMemberC,Xcoordinate,Ycoordinate,Xcoordinate_lure1,Ycoordinate_lure1,Xcoordinate_lure2,Ycoordinate_lure2,Xcoordinate_foil,Ycoordinate_foil
1,2000,1,1,OBJ,OLP,1,5,stimuli/fractals/138b.jpg,0.1171875,-0.2083333333333333,stimuli/fractals/138b.jpg,stimuli/fractals/138c.jpg,stimuli/fractals/138a.jpg,0.1171875,-0.2083333333333333,0.1953125,-0.2083333333333333,0.1171875,-0.06944444444444445,-0.1953125,0.06944444444444445
2,6000,1,1,OBJ,OLP,1,3,stimuli/fractals/137b.jpg,0.1953125,-0.06944444444444445,stimuli/fractals/137b.jpg,stimuli/fractals/137a.jpg,stimuli/fractals/137c.jpg,0.1953125,-0.06944444444444445,0.1171875,-0.06944444444444445,0.1953125,-0.2083333333333333,-0.1953125,-0.2083333333333333
3,2000,1,1,OBJ,ERP,1,4,stimuli/fractals/44b.jpg,-0.0390625,-0.2083333333333333,stimuli/fractals/44b.jpg,stimuli/fractals/44a.jpg,stimuli/fractals/44c.jpg,-0.0390625,-0.2083333333333333,-0.0390625,-0.06944444444444445,0.0390625,-0.2083333333333333,0.1953125,0.06944444444444445
4,1000,1,1,OBJ,BL,0,0,stimuli/fractals/92a.jpg,0.1171875,0.06944444444444445,stimuli/fractals/92a.jpg,stimuli/fractals/92c.jpg,stimuli/fractals/92b.jpg,0.1171875,0.06944444444444445,0.1953125,0.06944444444444445,0.1171875,-0.06944444444444445,-0.1953125,0.2083333333333333
5,5000,1,1,OBJ,ERP,1,4,stimuli/fractals/10c.jpg,0.0390625,0.2083333333333333,stimuli/fractals/10c.jpg,stimuli/fractals/10b.jpg,stimuli/fractals/10a.jpg,0.0390625,0.2083333333333333,0.1171875,0.2083333333333333,0.0390625,0.06944444444444445,0.1953125,-0.2083333333333333
6,3000,1,1,OBJ,OLP,2,0,stimuli/fractals/137a.jpg,0.1953125,-0.06944444444444445,stimuli/fractals/137b.jpg,stimuli/fractals/137a.jpg,stimuli/fractals/137c.jpg,0.1953125,-0.06944444444444445,0.1171875,-0.06944444444444445,0.1953125,-0.2083333333333333,-0.1953125,-0.2083333333333333
7,6000,1,1,OBJ,OLP,2,0,stimuli/fractals/138c.jpg,0.1171875,-0.2083333333333333,stimuli/fractals/138b.jpg,stimuli/fractals/138c.jpg,stimuli/fractals/138a.jpg,0.1171875,-0.2083333333333333,0.1953125,-0.2083333333333333,0.1171875,-0.06944444444444445,-0.1953125,0.06944444444444445
8,2000,1,1,OBJ,ERP,2,0,stimuli/fractals/44b.jpg,-0.0390625,-0.2083333333333333,stimuli/fractals/44b.jpg,stimuli/fractals/44a.jpg,stimuli/fractals/44c.jpg,-0.0390625,-0.2083333333333333,-0.0390625,-0.06944444444444445,0.0390625,-0.2083333333333333,0.1953125,0.06944444444444445
9,2000,1,1,OBJ,OLP,1,2,stimuli/fractals/110b.jpg,0.1953125,-0.2083333333333333,stimuli/fractals/110b.jpg,stimuli/fractals/110c.jpg,stimuli/fractals/110a.jpg,0.1953125,-0.2083333333333333,0.1953125,-0.06944444444444445,0.1171875,-0.2083333333333333,-0.1953125,0.2083333333333333
10,3000,1,1,OBJ,ERP,2,0,stimuli/fractals/10c.jpg,0.0390625,0.2083333333333333,stimuli/fractals/10c.jpg,stimuli/fractals/10b.jpg,stimuli/fractals/10a.jpg,0.0390625,0.2083333333333333,0.1171875,0.2083333333333333,0.0390625,0.06944444444444445,0.1953125,-0.2083333333333333
