TrialIndex,Jitter,ScannerRun,StimType,Order,Delay,CurrentImage,CurrentX,CurrentY,TripletMemberA,TripletMemberB,TripletMemberC,Xcoordinate,Ycoordinate,Xcoordinate_lure1,Ycoordinate_lure1,Xcoordinate_lure2,Ycoordinate_lure2,Xcoordinate_foil,Ycoordinate_foil
1.0,2000.0,1.0,OLP,1.0,3.0,stimuli/fractals/29c.jpg,375.0,225.0,stimuli/fractals/29c.jpg,stimuli/fractals/29a.jpg,stimuli/fractals/29b.jpg,375,225,375,75,225,225,-225,-225
2.0,6000.0,1.0,OLP,1.0,3.0,stimuli/fractals/110c.jpg,375.0,-75.0,stimuli/fractals/110c.jpg,stimuli/fractals/110a.jpg,stimuli/fractals/110b.jpg,375,-75,375,75,375,-225,-225,75
3.0,2000.0,1.0,LLP,1.0,5.0,stimuli/fractals/6c.jpg,75.0,-75.0,stimuli/fractals/6c.jpg,stimuli/fractals/6b.jpg,stimuli/fractals/6a.jpg,75,-75,225,-75,-75,-75,-375,225
4.0,1000.0,1.0,ERP,1.0,2.0,stimuli/fractals/79a.jpg,-75.0,225.0,stimuli/fractals/79a.jpg,stimuli/fractals/79c.jpg,stimuli/fractals/79b.jpg,-75,225,-75,75,-225,225,375,-225
5.0,5000.0,1.0,OLP,2.0,0.0,stimuli/fractals/29a.jpg,375.0,225.0,stimuli/fractals/29c.jpg,stimuli/fractals/29a.jpg,stimuli/fractals/29b.jpg,375,225,375,75,225,225,-225,-225
6.0,3000.0,1.0,OLP,2.0,0.0,stimuli/fractals/110a.jpg,375.0,-75.0,stimuli/fractals/110c.jpg,stimuli/fractals/110a.jpg,stimuli/fractals/110b.jpg,375,-75,375,75,375,-225,-225,75
7.0,6000.0,1.0,ERP,2.0,0.0,stimuli/fractals/79a.jpg,-75.0,225.0,stimuli/fractals/79a.jpg,stimuli/fractals/79c.jpg,stimuli/fractals/79b.jpg,-75,225,-75,75,-225,225,375,-225
8.0,2000.0,1.0,ERP,1.0,5.0,stimuli/fractals/95a.jpg,-75.0,-75.0,stimuli/fractals/95a.jpg,stimuli/fractals/95c.jpg,stimuli/fractals/95b.jpg,-75,-75,75,-75,-75,75,375,225
9.0,2000.0,1.0,LLP,2.0,0.0,stimuli/fractals/6c.jpg,225.0,-75.0,stimuli/fractals/6c.jpg,stimuli/fractals/6b.jpg,stimuli/fractals/6a.jpg,75,-75,225,-75,-75,-75,-375,225
10.0,3000.0,1.0,LLP,1.0,4.0,stimuli/fractals/28c.jpg,-75.0,225.0,stimuli/fractals/28c.jpg,stimuli/fractals/28a.jpg,stimuli/fractals/28b.jpg,-75,225,75,225,-225,225,375,-75
11.0,2000.0,1.0,ERP,1.0,1.0,stimuli/fractals/24c.jpg,-225.0,75.0,stimuli/fractals/24c.jpg,stimuli/fractals/24a.jpg,stimuli/fractals/24b.jpg,-225,75,-375,75,-225,-75,375,-75
12.0,2000.0,1.0,OLP,1.0,4.0,stimuli/fractals/56b.jpg,-75.0,-225.0,stimuli/fractals/56b.jpg,stimuli/fractals/56a.jpg,stimuli/fractals/56c.jpg,-75,-225,-75,-75,-225,-225,375,225
13.0,2000.0,1.0,ERP,2.0,0.0,stimuli/fractals/24c.jpg,-225.0,75.0,stimuli/fractals/24c.jpg,stimuli/fractals/24a.jpg,stimuli/fractals/24b.jpg,-225,75,-375,75,-225,-75,375,-75
14.0,500.0,1.0,ERP,2.0,0.0,stimuli/fractals/95a.jpg,-75.0,-75.0,stimuli/fractals/95a.jpg,stimuli/fractals/95c.jpg,stimuli/fractals/95b.jpg,-75,-75,75,-75,-75,75,375,225
15.0,500.0,1.0,LLP,2.0,0.0,stimuli/fractals/28c.jpg,75.0,225.0,stimuli/fractals/28c.jpg,stimuli/fractals/28a.jpg,stimuli/fractals/28b.jpg,-75,225,75,225,-225,225,375,-75
16.0,1000.0,1.0,LLP,1.0,2.0,stimuli/fractals/37a.jpg,75.0,225.0,stimuli/fractals/37a.jpg,stimuli/fractals/37b.jpg,stimuli/fractals/37c.jpg,75,225,-75,225,225,225,-375,-225
17.0,3000.0,1.0,OLP,2.0,0.0,stimuli/fractals/56a.jpg,-75.0,-225.0,stimuli/fractals/56b.jpg,stimuli/fractals/56a.jpg,stimuli/fractals/56c.jpg,-75,-225,-75,-75,-225,-225,375,225
