TrialIndex,Jitter,ScannerRun,BlockNr,TrialType,StimType,CurrentImage,CurrentX,CurrentY,EncodingTrialIndex,EncodingStimType,EncodingImage,EncodingXcoordinate,EncodingYcoordinate,TripletMemberA,TripletMemberB,TripletMemberC,Xcoordinate,Ycoordinate,Xcoordinate_lure1,Ycoordinate_lure1,Xcoordinate_lure2,Ycoordinate_lure2,Xcoordinate_foil,Ycoordinate_foil
1,500,,1,OBJ,FOIL,stimuli/fractals/77c.jpg,-375.0,-225.0,0.0,FOIL,nan,0.0,0.0,,,,,,,,,,,
2,1000,,1,OBJ,LURE,stimuli/fractals/90b.jpg,75.0,-75.0,1.0,OLP,stimuli/fractals/90a.jpg,75.0,-75.0,stimuli/fractals/90a.jpg,stimuli/fractals/90c.jpg,stimuli/fractals/90b.jpg,75.0,-75.0,225.0,-75.0,75.0,75.0,-375.0,225.0
3,2000,,1,OBJ,TARGET,stimuli/fractals/23a.jpg,-75.0,-75.0,2.0,OLP,stimuli/fractals/23a.jpg,-75.0,-75.0,stimuli/fractals/23a.jpg,stimuli/fractals/23c.jpg,stimuli/fractals/23b.jpg,-75.0,-75.0,75.0,-75.0,-225.0,-75.0,375.0,225.0
4,3000,,1,OBJ,FOIL,stimuli/fractals/17c.jpg,375.0,-225.0,0.0,FOIL,nan,0.0,0.0,,,,,,,,,,,
5,2000,,1,OBJ,TARGET,stimuli/fractals/34c.jpg,75.0,-75.0,12.0,OLP,stimuli/fractals/34c.jpg,75.0,-75.0,stimuli/fractals/34c.jpg,stimuli/fractals/34a.jpg,stimuli/fractals/34b.jpg,75.0,-75.0,75.0,75.0,225.0,-75.0,-375.0,225.0
6,1000,,1,OBJ,FOIL,stimuli/fractals/55b.jpg,375.0,-225.0,0.0,FOIL,nan,0.0,0.0,,,,,,,,,,,
7,3000,,1,OBJ,TARGET,stimuli/fractals/103b.jpg,375.0,-225.0,18.0,OLP,stimuli/fractals/103b.jpg,375.0,-225.0,stimuli/fractals/103b.jpg,stimuli/fractals/103a.jpg,stimuli/fractals/103c.jpg,375.0,-225.0,225.0,-225.0,375.0,-75.0,-225.0,225.0
8,1000,,1,OBJ,TARGET,stimuli/fractals/69b.jpg,-375.0,-225.0,4.0,ERP,stimuli/fractals/69b.jpg,-375.0,-225.0,stimuli/fractals/69b.jpg,stimuli/fractals/69c.jpg,stimuli/fractals/69a.jpg,-375.0,-225.0,-225.0,-225.0,-375.0,-75.0,375.0,75.0
9,2000,,1,OBJ,TARGET,stimuli/fractals/139b.jpg,-225.0,-75.0,8.0,ERP,stimuli/fractals/139b.jpg,-225.0,-75.0,stimuli/fractals/139b.jpg,stimuli/fractals/139c.jpg,stimuli/fractals/139a.jpg,-225.0,-75.0,-225.0,75.0,-75.0,-75.0,375.0,-225.0
10,2000,,1,OBJ,FOIL,stimuli/fractals/85c.jpg,375.0,225.0,0.0,FOIL,nan,0.0,0.0,,,,,,,,,,,
11,6000,,1,OBJ,LURE,stimuli/fractals/5a.jpg,-375.0,225.0,3.0,LLP,stimuli/fractals/5c.jpg,-375.0,225.0,stimuli/fractals/5c.jpg,stimuli/fractals/5b.jpg,stimuli/fractals/5a.jpg,-375.0,225.0,-225.0,225.0,-375.0,75.0,225.0,-75.0
12,2000,,1,OBJ,FOIL,stimuli/fractals/49b.jpg,375.0,75.0,0.0,FOIL,nan,0.0,0.0,,,,,,,,,,,
13,2000,,1,OBJ,LURE,stimuli/fractals/141b.jpg,375.0,225.0,11.0,ERP,stimuli/fractals/141a.jpg,375.0,225.0,stimuli/fractals/141a.jpg,stimuli/fractals/141c.jpg,stimuli/fractals/141b.jpg,375.0,225.0,375.0,75.0,225.0,225.0,-375.0,-225.0
14,3000,,1,OBJ,FOIL,stimuli/fractals/92a.jpg,-375.0,225.0,0.0,FOIL,nan,0.0,0.0,,,,,,,,,,,
